,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,pIC50,MW,logP,numHd,numHa
4343,CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,353860.0,inactive,3.4511685268258474,302.23800000000006,1.988,5,7
4344,CHEMBL2314726,COc1cc2cc(NC(=O)[C@H]3CCC[C@@H](NCc4ccccc4)C3)c(=O)oc2cc1OC,43.0,active,7.366531544420414,436.5080000000002,4.097300000000003,2,6
4345,CHEMBL659,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,300.0,active,6.522878745280337,287.35900000000004,1.8503,1,4
4346,CHEMBL636,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,700.0,active,6.154901959985743,250.34199999999998,2.7597000000000014,0,3
4347,CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,2.0,active,8.698970004336019,379.50000000000017,4.361100000000004,0,4
4348,CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,100.0,active,7.0,198.26899999999992,2.695800000000001,1,2
4349,CHEMBL2323356,CCOc1ccc(/C=N/NC(=O)CN2CCC(Cc3ccccc3)CC2)cc1,53100.0,inactive,4.274905478918531,379.5040000000001,3.4901000000000026,1,4
4350,CHEMBL2323355,COc1ccc(/C=N/NC(=O)CN2CCC(Cc3ccccc3)CC2)cc1,73500.0,inactive,4.133712660915805,365.47700000000003,3.1000000000000014,1,4
4351,CHEMBL2323354,COc1ccc(/C=N/NC(=O)CN2CCC(Cc3ccccc3)CC2)cc1OC,62800.0,inactive,4.2020403562628035,395.5030000000001,3.108600000000002,1,5
4352,CHEMBL2323353,CCOc1ccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)cc1,81400.0,inactive,4.089375595110798,380.4920000000001,2.3531999999999993,1,5
4353,CHEMBL2323352,COc1ccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)cc1,88500.0,inactive,4.053056729302175,366.46500000000003,1.9630999999999994,1,5
4354,CHEMBL2323351,COc1ccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)cc1OC,81100.0,inactive,4.090979145788844,396.4910000000001,1.9716999999999996,1,6
4355,CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,5.7,active,8.244125144327509,379.50000000000017,4.361100000000004,0,4
4356,CHEMBL1255901,C/C=C1\[C@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2,45.0,active,7.346787486224656,242.32199999999997,1.9975,2,2
4358,CHEMBL2332981,O=C(C[C@H]1C[C@H]2CCCN2[C@]12C(=O)Nc1ccccc12)N1C/C(=C\c2cccc3ccccc23)C(=O)[C@]2(C[C@H]3CCCN3[C@@]23C(=O)Nc2ccccc23)C1,20630.0,inactive,4.685500772026848,717.8699999999999,6.058600000000006,2,6
4359,CHEMBL2332540,O=C(C[C@H]1C[C@H]2CCCN2[C@]12C(=O)Nc1ccccc12)N1C/C(=C\c2ccc(F)cc2)C(=O)[C@]2(C[C@H]3CCCN3[C@@]23C(=O)Nc2ccccc23)C1,23670.0,inactive,4.625801742070918,685.8000000000001,5.044500000000005,2,6
4361,CHEMBL2332530,Cc1ccc(/C=C2\CN(C(=O)C[C@H]3C[C@H]4CCCN4[C@]34C(=O)Nc3ccccc34)C[C@@]3(C[C@H]4CCCN4[C@@]34C(=O)Nc3ccccc34)C2=O)cc1,19590.0,inactive,4.707965564005264,681.8370000000003,5.213820000000005,2,6
4363,CHEMBL2332532,O=C(C[C@H]1C[C@H]2CCCN2[C@]12C(=O)Nc1ccccc12)N1C/C(=C\c2cccc([N+](=O)[O-])c2)C(=O)[C@]2(C[C@H]3CCCN3[C@@]23C(=O)Nc2ccccc23)C1,26600.0,inactive,4.575118363368933,712.8069999999999,4.813600000000004,2,8
4364,CHEMBL2332533,O=C(C[C@H]1C[C@H]2CCCN2[C@]12C(=O)Nc1ccccc12)N1C/C(=C\c2ccccc2F)C(=O)[C@]2(C[C@H]3CCCN3[C@@]23C(=O)Nc2ccccc23)C1,24580.0,inactive,4.609418121449565,685.8000000000001,5.044500000000005,2,6
4365,CHEMBL2332534,O=C(C[C@H]1C[C@H]2CCCN2[C@]12C(=O)Nc1ccccc12)N1C/C(=C\c2ccccc2Cl)C(=O)[C@]2(C[C@H]3CCCN3[C@@]23C(=O)Nc2ccccc23)C1,13640.0,inactive,4.86518562967954,702.2549999999999,5.558800000000005,2,6
4366,CHEMBL2332542,COc1ccccc1/C=C1\CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C[C@@]2(C[C@H]3CCCN3[C@@]23C(=O)Nc2ccccc23)C1=O,11410.0,inactive,4.942714355581785,697.8360000000001,4.914000000000004,2,7
4367,CHEMBL2332543,Cc1ccccc1/C=C1\CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C[C@@]2(C[C@H]3CCCN3[C@@]23C(=O)Nc2ccccc23)C1=O,27450.0,inactive,4.561457651213889,681.8370000000002,5.213820000000005,2,6
4368,CHEMBL2332544,O=C(C[C@H]1C[C@H]2CCCN2[C@]12C(=O)Nc1ccccc12)N1C/C(=C\c2ccccc2)C(=O)[C@]2(C[C@H]3CCCN3[C@@]23C(=O)Nc2ccccc23)C1,19650.0,inactive,4.706637445288554,667.8100000000002,4.905400000000005,2,6
4370,CHEMBL2332980,O=C1/C(=C/c2ccc(F)cc2)CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C1=C\c1ccc(F)cc1,19840.0,inactive,4.70245833218184,579.6470000000004,5.5651000000000055,1,4
4372,CHEMBL2332978,Cc1ccc(/C=C2\CN(C(=O)C[C@H]3C[C@H]4CCCN4[C@]34C(=O)Nc3ccccc34)C/C(=C\c3ccc(C)cc3)C2=O)cc1,20070.0,inactive,4.697452627512514,571.7210000000002,5.903740000000006,1,4
4375,CHEMBL2332975,O=C1/C(=C/c2ccccc2F)CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C1=C\c1ccccc1F,34370.0,inactive,4.463820467862774,579.6470000000004,5.5651000000000055,1,4
4376,CHEMBL2332974,O=C1/C(=C/c2ccccc2Cl)CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C1=C\c1ccccc1Cl,11920.0,inactive,4.923723744595782,612.5570000000002,6.593700000000006,1,4
4377,CHEMBL2332550,COc1ccccc1/C=C1\CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C(=C\c2ccccc2OC)C1=O,15860.0,inactive,4.799696817018415,603.7190000000003,5.304100000000005,1,6
4378,CHEMBL2332549,Cc1ccccc1/C=C1\CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C(=C\c2ccccc2C)C1=O,12470.0,inactive,4.904133546521457,571.7210000000001,5.903740000000006,1,4
4379,CHEMBL2332548,O=C1/C(=C/c2ccccc2)CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C1=C\c1ccccc1,17490.0,inactive,4.757210190521324,543.6670000000003,5.2869000000000055,1,4
4380,CHEMBL2332547,C=CC(=O)N1C/C(=C\c2cccc3ccccc23)C(=O)/C(=C/c2cccc3ccccc23)C1,13840.0,inactive,4.858863909879261,429.51900000000023,6.057300000000005,0,2
4381,CHEMBL350032,C=CC(=O)N1C/C(=C\c2ccc(F)cc2)C(=O)/C(=C/c2ccc(F)cc2)C1,15120.0,inactive,4.820448208834812,365.3790000000001,4.029100000000003,0,2
4382,CHEMBL152675,C=CC(=O)N1C/C(=C\c2ccc(Cl)cc2)C(=O)/C(=C/c2ccc(Cl)cc2)C1,22040.0,inactive,4.656788409820253,398.2890000000001,5.057700000000004,0,2
4383,CHEMBL454594,C=CC(=O)N1C/C(=C\c2ccc(C)cc2)C(=O)/C(=C/c2ccc(C)cc2)C1,18060.0,inactive,4.743282254022513,357.45300000000015,4.367740000000004,0,2
